hidden_layer,hidden_neuron,lr,epoch,mse_relu,mse_sigmoid,mse_tanh
1,"(2,)",0.0001,100,0.0200673436652624,0.0318616541702361,0.0064071820687971
1,"(2,)",0.0001,200,0.026817939383556,0.0130691258936536,0.0080558528154571
1,"(2,)",0.001,100,0.015435428216153,0.0098288712848018,0.0023294937021378
1,"(2,)",0.001,200,0.0435565471540994,0.011200800015073,0.0102337594900204
1,"(3,)",0.0001,100,0.3061199238455986,0.0152823182789042,0.0224051682132241
1,"(3,)",0.0001,200,0.0641488920599711,0.010367124380171,0.0132739039724264
1,"(3,)",0.001,100,0.0127074850550652,0.0176800987976706,0.009974507194258
1,"(3,)",0.001,200,0.0005452166695239,0.0178843948721549,0.0088091048540704
1,"(4,)",0.0001,100,0.03536087394901,0.0524933080768395,0.0052424108671253
1,"(4,)",0.0001,200,0.0542589534409296,0.0297197953934087,0.0153203067772988
1,"(4,)",0.001,100,0.0608446320509152,0.0130364639321917,0.010935245396273
1,"(4,)",0.001,200,0.0540990511915014,0.0114536722837599,0.0117745831552703
2,"(2, 2)",0.0001,100,0.122570603665211,0.0198585959857088,0.0068356162793132
2,"(2, 2)",0.0001,200,0.1913114407181021,0.028616573020662,0.0088784651723467
2,"(2, 2)",0.001,100,0.0142190069015432,0.0147213647317485,0.0150267868447295
2,"(2, 2)",0.001,200,0.0166562842359284,0.0132130730423903,0.0107015246948549
2,"(2, 3)",0.0001,100,0.0127963539111527,0.0142021890563689,0.0569725603905179
2,"(2, 3)",0.0001,200,0.0075633632794001,0.0267591667797381,0.0117617838072033
2,"(2, 3)",0.001,100,0.125647307362956,0.0161379704475153,0.0123560333281652
2,"(2, 3)",0.001,200,0.1465880760339665,0.0144609376378778,0.0129624536547442
2,"(2, 4)",0.0001,100,0.465300902594147,0.0641486617599929,0.0125257778919698
2,"(2, 4)",0.0001,200,0.6067180410796276,0.0561395529794046,0.0162791912691309
2,"(2, 4)",0.001,100,0.3091926317933103,0.016290462885169,0.0100383258612363
2,"(2, 4)",0.001,200,0.0234497208558327,0.0123753600357589,0.0130412148044112
2,"(3, 2)",0.0001,100,0.200676368399658,0.040870455729928,0.0133974288399303
2,"(3, 2)",0.0001,200,0.003916120507611,0.014913094822391,0.0109750636700184
2,"(3, 2)",0.001,100,0.0027023496282228,0.0156327255776713,0.0107854475654852
2,"(3, 2)",0.001,200,0.09606027904818,0.0134814085558706,0.0119612963897175
2,"(3, 3)",0.0001,100,0.0855129855249052,0.0242397019593083,0.013941035494152
2,"(3, 3)",0.0001,200,0.1560428462812947,0.0340547374026841,0.0103930011060914
2,"(3, 3)",0.001,100,0.1740961780025532,0.0132119673166109,0.0113150980180198
2,"(3, 3)",0.001,200,0.1502024309866761,0.014631032976941,0.0126423699410233
2,"(3, 4)",0.0001,100,0.0181872385964315,0.0515666092916454,0.0352815994221122
2,"(3, 4)",0.0001,200,0.8961848155048014,0.0345968594139023,0.0153559699724906
2,"(3, 4)",0.001,100,0.0111490215184568,0.0140982448619256,0.0107878611735842
2,"(3, 4)",0.001,200,0.2990547217483522,0.0144446785570465,0.0116570291842938
2,"(4, 2)",0.0001,100,0.1306562182380016,0.0267584232748253,0.0116094945191186
2,"(4, 2)",0.0001,200,0.3448216638259365,0.0117694882332354,0.0130208305930753
2,"(4, 2)",0.001,100,0.0796122394596573,0.0104189996499334,0.0123036219039042
2,"(4, 2)",0.001,200,0.0030535111565669,0.0128924635251271,0.0124318283139533
2,"(4, 3)",0.0001,100,0.00320727060405,0.0400859388016733,0.011639013392175
2,"(4, 3)",0.0001,200,0.0452705243623809,0.0159179613103759,0.007257395555718
2,"(4, 3)",0.001,100,0.3341376716135969,0.0141359183024773,0.0103550086862603
2,"(4, 3)",0.001,200,0.1255944426878533,0.0127355639297108,0.0122776285046629
2,"(4, 4)",0.0001,100,0.4616159033479488,0.0605266709117043,0.0097324978598967
2,"(4, 4)",0.0001,200,0.1961121530456811,0.0455126169381115,0.0121090549422097
2,"(4, 4)",0.001,100,0.7887846368273446,0.013858972590588,0.0127897118524627
2,"(4, 4)",0.001,200,0.5403697802985858,0.0130558569547058,0.0108823668630745
